timestamp, free heap, largest free block, connected, wifi strength
Wed Jan 10 13:19:43 2024, 270472, 262132, true, -43
Wed Jan 10 13:19:53 2024, 270472, 262132, true, -43
Wed Jan 10 13:20:03 2024, 270472, 262132, true, -40
Wed Jan 10 13:20:13 2024, 268924, 258036, true, -46
Wed Jan 10 13:20:23 2024, 266644, 253940, true, -41
Wed Jan 10 13:20:33 2024, 266644, 253940, true, -42
Wed Jan 10 13:20:43 2024, 266644, 253940, true, -42
Wed Jan 10 13:20:53 2024, 266644, 253940, true, -43
Wed Jan 10 13:21:03 2024, 270504, 262132, true, -45
Wed Jan 10 13:21:13 2024, 270500, 262132, true, -44
Wed Jan 10 13:21:23 2024, 270500, 262132, true, -42
Wed Jan 10 13:21:33 2024, 270500, 262132, true, -44
Wed Jan 10 13:21:43 2024, 270500, 262132, true, -45
Wed Jan 10 13:21:53 2024, 270500, 262132, true, -43
Wed Jan 10 13:22:33 2024, 263376, 253940, true, -42
